SPRINT 2 RATIO EDGE CASE LOG
============================================================

BANKBARODA | 2020-03 | ROE difference = 15.41% | Category: FORMULA_DISCREPANCY
BANKBARODA | 2021-03 | ROE difference = 14.73% | Category: FORMULA_DISCREPANCY
BANKBARODA | 2022-03 | ROE difference = 8.06% | Category: FORMULA_DISCREPANCY
BEL | 2013-03 | ROCE difference = 4268.73% | Category: VERSION_DIFFERENCE
BEL | 2013-03 | ROE difference = 15157.03% | Category: VERSION_DIFFERENCE
BEL | 2014-03 | ROCE difference = 4833.26% | Category: VERSION_DIFFERENCE
BEL | 2014-03 | ROE difference = 13573.70% | Category: VERSION_DIFFERENCE
BEL | 2015-03 | ROCE difference = 5074.49% | Category: VERSION_DIFFERENCE
BEL | 2015-03 | ROE difference = 17073.70% | Category: VERSION_DIFFERENCE
BEL | 2016-03 | ROCE difference = 5278.91% | Category: VERSION_DIFFERENCE
BEL | 2016-03 | ROE difference = 11115.37% | Category: VERSION_DIFFERENCE
BEL | 2017-03 | ROCE difference = 4992.67% | Category: VERSION_DIFFERENCE
BEL | 2017-03 | ROE difference = 10127.03% | Category: VERSION_DIFFERENCE
BEL | 2018-03 | ROCE difference = 2794.51% | Category: VERSION_DIFFERENCE
BEL | 2018-03 | ROE difference = 4589.83% | Category: VERSION_DIFFERENCE
BEL | 2019-03 | ROCE difference = 3071.65% | Category: VERSION_DIFFERENCE
BEL | 2019-03 | ROE difference = 3824.72% | Category: VERSION_DIFFERENCE
BEL | 2020-03 | ROCE difference = 2852.27% | Category: VERSION_DIFFERENCE
BEL | 2020-03 | ROE difference = 3291.88% | Category: VERSION_DIFFERENCE
BEL | 2021-03 | ROCE difference = 3057.07% | Category: VERSION_DIFFERENCE
BEL | 2021-03 | ROE difference = 3533.02% | Category: VERSION_DIFFERENCE
BEL | 2022-03 | ROCE difference = 2781.15% | Category: VERSION_DIFFERENCE
BEL | 2022-03 | ROE difference = 3451.96% | Category: VERSION_DIFFERENCE
BEL | 2023-03 | ROCE difference = 3799.61% | Category: VERSION_DIFFERENCE
BEL | 2023-03 | ROE difference = 3955.03% | Category: VERSION_DIFFERENCE
BEL | 2024-03 | ROCE difference = 4470.12% | Category: VERSION_DIFFERENCE
BEL | 2024-03 | ROE difference = 4717.75% | Category: VERSION_DIFFERENCE
BHARTIARTL | 2013-03 | ROCE difference = 7.50% | Category: FORMULA_DISCREPANCY
BHARTIARTL | 2013-03 | ROE difference = 10.40% | Category: FORMULA_DISCREPANCY
BHARTIARTL | 2014-03 | ROCE difference = 8.57% | Category: FORMULA_DISCREPANCY
BHARTIARTL | 2014-03 | ROE difference = 9.85% | Category: FORMULA_DISCREPANCY
BHARTIARTL | 2015-03 | ROCE difference = 15.19% | Category: FORMULA_DISCREPANCY
BHARTIARTL | 2016-03 | ROCE difference = 10.10% | Category: FORMULA_DISCREPANCY
BHARTIARTL | 2017-03 | ROCE difference = 8.10% | Category: FORMULA_DISCREPANCY
